Nome;Código;PER;CHT;CHP;CHD;CHE;TOT;FLX;OBR;OPT;A|B;EXT;FORM_BAS;FORM_HUM;FORM_TEC;FORM_CMP;CC_UO1;CC_SM2;CC_SAI3;CC_SD4;CC_SF5;CC_HW6;PREQ;CREQ;Elementos41;Níveis41;Elementos42;Níveis42;Disposições;Ementa;QEXTR;DCN_base;DCN_ecp
Geometria Analítica;FAMAT31021;1;60;0;0;0;60;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;;;;;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;;0;22;-1
Gerenciamento de Banco de Dados;GBC053;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Gerenciamento de Projetos;FAGEN32502;-1;30;30;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;FAGEN39401 Empreendorismo e Inovação;0;-1;-1
IA Aplicada à Cibersegurança;FEELT!IACS;8;15;0;30;0;45;True;True;False;A;False;False;False;True;False;False;False;True;False;False;False;FEELT!SEG/FEELT!APMG;;Sistemas Inteligentes (IA);Análise;Matemática e Estatística|Resolução de Problemas e Solução de Erros|Pensamento Analítico e Crítico;Análise|Aplicação|Análise;Inventivo|Responsável|Orientado por Propósito;;0;6/11/4;-1
Instalações Elétricas;FEELT31603;-1;30;0;0;0;30;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Inteligência Artificial;FACOM39050;-1;60;0;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT!FIA Fundamentos da Inteligência Artificial;0;-1;-1
Inteligência Artificial;GBC063;-1;60;0;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT!FIA Fundamentos da Inteligência Artificial;0;-1;-1
Inteligência Artificial Aplicada aos Negócios;GSI051;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Inteligência Artificial Aplicada aos Negócios;GBC209;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Inteligência Artificial, Ética e Sociedade;FEELT!IAES;3;30;0;0;0;30;True;True;False;A;False;False;True;False;False;True;False;False;False;False;False;;;Questões Sociais e Prática Profissional;Compreensão;Perspectivas Éticas e Interculturais|Pensamento Analítico e Crítico;Compreensão|Aplicação;Responsável|Meticuloso|Profissional;;2/4/5;6/40/42/43/45;-1
Inteligência Computacional;GBC073;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Interação Humano-Computador;GSI037;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Introdução à Engenharia de Computação;FEELT31103;1;30;0;0;0;30;True;True;False;A;False;False;True;False;False;True;False;False;False;False;False;;;Questões Sociais e Prática Profissional;Compreensão;Colaboração e Trabalho em Equipe|Comunicação Oral e Apresentação|Perspectivas Éticas e Interculturais;Aplicação|Aplicação|Compreensão;Responsável|Colaborativo|Profissional;;2/4/5/6;42/43/40/44/41/45;-1
Introdução à Prototipagem Eletrônica;FEELT!IPE;1;0;30;0;0;30;True;True;False;A;False;False;False;True;False;False;False;False;False;False;True;;;Circuitos e Eletrônica|Design Digital;Compreensão|Compreensão;Pesquisa e Aprendizagem Independente|Colaboração e Trabalho em Equipe|Resolução de Problemas e Solução de Erros|Comunicação Oral e Apresentação;Aplicação|Aplicação|Aplicação|Compreensão;Inventivo|Autodirigido|Proativo;;0;18/13;12/10/0/7
Língua Brasileira de Sinais - Libras I;LIBRAS01;-1;30;30;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;1/3;-1;-1
Língua Brasileira de Sinais - Libras II;LIBRAS02;-1;30;30;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;3;-1;-1
Linguagens Formais e Autômatos;GBC044;-1;60;0;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT!TCOMP Teoria da Computação;0;-1;-1
Lógica e Matemática Discreta para Computação;FEELT!LMD;1;45;0;0;0;45;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;;;Fundamentos de Programação|Estruturas de Dados;Algoritmos e Complexidade;Compreensão|Compreensão;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros|Comunicação Escrita;Aplicação|Aplicação|Compreensão|Compreensão;Meticuloso|Adaptável|Orientado por Propósito;0;20/28/24/35;-1
Memorial de Atividades Curriculares de Extensão;FEELT!MACE;8;0;0;0;30;30;True;False;False;A;True;False;True;False;False;False;False;False;False;False;False;ACE4;;;;;;;;0;44/42;-1
Métodos Matemáticos;FAMAT31031;4;75;0;0;0;75;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;FAMAT31013;;;;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;;0;22;-1
Metrologia;FEELT31204;2;30;30;0;0;60;True;True;False;A;False;True;False;False;False;False;False;False;False;False;True;;;Processamento de Sinais|Circuitos e Eletrônica;Compreensão|Compreensão;Matemática e Estatística|Resolução de Problemas e Solução de Erros|Controle e Garantia de Qualidade;Aplicação|Aplicação|Aplicação;Meticuloso|Responsável|Orientado por Propósito;;5/6;18/45/22;7
Micro e Nanoeletrônica;FEELT39043;-1;30;15;0;0;45;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Mineração de Dados;GBC212;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Mineração de Dados;GBC212;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Mineração de Dados;GSI055;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Modelagem e Simulação;GBC065;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Modelagem e Simulação de Sistemas a Eventos Discretos;FEELT32901;-1;45;15;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Modelos de Linguagem e Agentes de IA;FEELT!MLIA;-1;30;15;0;0;45;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Multimídia;GBC213;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0;12;-1
Organização e Recuperação da Informação;FACOM32605;-1;30;30;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Otimização;GSI027;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Otimização;FACOM31601;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0;26;-1
Otimização e Simulação;FEELT31723;-1;30;15;0;0;45;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Perspectivas em Engenharia de Computação PEC30 [por tipo];FEELT!PEC30;-1;-1;-1;-1;-1;30;False;True;False;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Perspectivas em Engenharia de Computação PEC45 [por tipo];FEELT!PEC45;-1;-1;-1;-1;-1;45;False;True;False;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Perspectivas em Engenharia de Computação PEC60 [por tipo];FEELT!PEC60;-1;-1;-1;-1;-1;60;False;True;False;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Perspectivas em Engenharia de Computação PEC75 [por tipo];FEELT!PEC75;-1;-1;-1;-1;-1;75;False;True;False;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Pesquisa Operacional;FAGEN31703;-1;30;30;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0;26;-1
Princípios e Padrões de Projeto;FACOM31401;-1;30;30;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Processamento Digital de Imagens;GSI058;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Processamento Digital de Imagens;FACOM39053;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Processamento Digital de Sinais;FEELT31628;6;45;15;0;0;60;True;True;False;A;False;False;False;True;False;False;False;False;False;False;True;FAMAT31031;;Processamento de Sinais;Análise;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Análise|Análise|Aplicação;Meticuloso|Adaptável|Inventivo;;0;22/34;3
Programação Funcional;FEELT!PF;3;30;15;0;0;45;True;True;False;A;False;False;False;True;False;False;False;False;False;True;False;;;Fundamentos de Programação|Linguagens de Programação|Estruturas de Dados;Algoritmos e Complexidade;Análise|Análise|Aplicação;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Compreensão|Aplicação|Aplicação;Inventivo|Meticuloso|Autodirigido;0;21/33/32/19;-1
Programação Funcional;GBC033;-1;30;30;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT!PF Programação Funcional;0;-1;-1
Programação Lógica;GBC025;-1;30;30;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
Programação Lógica e Inteligência Artificial;FEELT31407;-1;30;15;0;0;45;False;False;True;;;;;;;;;;;;;;;;;;;;;0;-1;-1
